iso_code;date;daily_vaccinations
AFG;22/02/2021;
AFG;23/02/2021;1367.0
AFG;24/02/2021;1367.0
AFG;25/02/2021;1367.0
AFG;26/02/2021;1367.0
AFG;27/02/2021;1367.0
AFG;28/02/2021;1367.0
AFG;01/03/2021;1580.0
AFG;02/03/2021;1794.0
AFG;03/03/2021;2008.0
AFG;04/03/2021;2221.0
AFG;05/03/2021;2435.0
AFG;06/03/2021;2649.0
AFG;07/03/2021;2862.0
AFG;08/03/2021;2862.0
AFG;09/03/2021;2862.0
AFG;10/03/2021;2862.0
AFG;11/03/2021;2862.0
AFG;12/03/2021;2862.0
AFG;13/03/2021;2862.0
AFG;14/03/2021;2862.0
AFG;15/03/2021;2862.0
AFG;16/03/2021;2862.0
AFG;17/03/2021;2882.0
AFG;18/03/2021;2902.0
AFG;19/03/2021;2921.0
AFG;20/03/2021;2941.0
AFG;21/03/2021;2961.0
AFG;22/03/2021;2980.0
AFG;23/03/2021;3000.0
AFG;24/03/2021;3000.0
AFG;25/03/2021;3000.0
AFG;26/03/2021;3000.0
AFG;27/03/2021;3000.0
AFG;28/03/2021;3000.0
AFG;29/03/2021;3000.0
AFG;30/03/2021;3000.0
AFG;31/03/2021;3000.0
AFG;01/04/2021;3000.0
AFG;02/04/2021;3000.0
AFG;03/04/2021;3000.0
AFG;04/04/2021;3000.0
AFG;05/04/2021;3000.0
AFG;06/04/2021;3000.0
AFG;07/04/2021;3000.0
AFG;08/04/2021;3714.0
AFG;09/04/2021;4429.0
AFG;10/04/2021;5143.0
AFG;11/04/2021;5857.0
AFG;12/04/2021;6571.0
AFG;13/04/2021;7286.0
AFG;14/04/2021;8000.0
AFG;15/04/2021;8000.0
AFG;16/04/2021;8000.0
AFG;17/04/2021;8000.0
AFG;18/04/2021;8000.0
AFG;19/04/2021;8000.0
AFG;20/04/2021;8000.0
AFG;21/04/2021;8000.0
AFG;22/04/2021;8000.0
ALB;10/01/2021;
ALB;11/01/2021;64.0
ALB;12/01/2021;64.0
ALB;13/01/2021;63.0
ALB;14/01/2021;66.0
ALB;15/01/2021;62.0
ALB;16/01/2021;62.0
ALB;17/01/2021;58.0
ALB;18/01/2021;55.0
ALB;19/01/2021;51.0
ALB;20/01/2021;47.0
ALB;21/01/2021;40.0
ALB;22/01/2021;34.0
ALB;23/01/2021;26.0
ALB;24/01/2021;21.0
ALB;25/01/2021;15.0
ALB;26/01/2021;9.0
ALB;27/01/2021;4.0
ALB;28/01/2021;0.0
ALB;29/01/2021;0.0
ALB;30/01/2021;0.0
ALB;31/01/2021;0.0
ALB;01/02/2021;0.0
ALB;02/02/2021;0.0
ALB;03/02/2021;12.0
ALB;04/02/2021;24.0
ALB;05/02/2021;35.0
ALB;06/02/2021;47.0
ALB;07/02/2021;59.0
ALB;08/02/2021;71.0
ALB;09/02/2021;82.0
ALB;10/02/2021;81.0
ALB;11/02/2021;79.0
ALB;12/02/2021;78.0
ALB;13/02/2021;76.0
ALB;14/02/2021;75.0
ALB;15/02/2021;73.0
ALB;16/02/2021;72.0
ALB;17/02/2021;72.0
ALB;18/02/2021;254.0
ALB;19/02/2021;405.0
ALB;20/02/2021;516.0
ALB;21/02/2021;627.0
ALB;22/02/2021;739.0
ALB;23/02/2021;891.0
ALB;24/02/2021;1043.0
ALB;25/02/2021;1012.0
ALB;26/02/2021;1000.0
ALB;27/02/2021;1027.0
ALB;28/02/2021;1054.0
ALB;01/03/2021;1081.0
ALB;02/03/2021;1026.0
ALB;03/03/2021;971.0
ALB;04/03/2021;927.0
ALB;05/03/2021;897.0
ALB;06/03/2021;867.0
ALB;07/03/2021;838.0
ALB;08/03/2021;808.0
ALB;09/03/2021;820.0
ALB;10/03/2021;831.0
ALB;11/03/2021;857.0
ALB;12/03/2021;883.0
ALB;13/03/2021;1042.0
ALB;14/03/2021;1201.0
ALB;15/03/2021;1361.0
ALB;16/03/2021;1520.0
ALB;17/03/2021;1679.0
ALB;18/03/2021;1960.0
ALB;19/03/2021;2240.0
ALB;20/03/2021;2386.0
ALB;21/03/2021;2533.0
ALB;22/03/2021;2679.0
ALB;23/03/2021;2895.0
ALB;24/03/2021;2946.0
ALB;25/03/2021;3287.0
ALB;26/03/2021;3276.0
ALB;27/03/2021;3113.0
ALB;28/03/2021;4678.0
ALB;29/03/2021;7204.0
ALB;30/03/2021;9662.0
ALB;31/03/2021;12122.0
ALB;01/04/2021;13731.0
ALB;02/04/2021;15748.0
ALB;03/04/2021;17346.0
ALB;04/04/2021;16412.0
ALB;05/04/2021;15435.0
ALB;06/04/2021;14610.0
ALB;07/04/2021;13362.0
ALB;08/04/2021;12440.0
ALB;09/04/2021;11170.0
ALB;10/04/2021;10188.0
ALB;11/04/2021;9898.0
ALB;12/04/2021;8689.0
ALB;13/04/2021;8518.0
ALB;14/04/2021;8639.0
ALB;15/04/2021;8849.0
ALB;16/04/2021;9135.0
ALB;17/04/2021;9719.0
ALB;18/04/2021;10105.0
ALB;19/04/2021;11200.0
ALB;20/04/2021;9826.0
ALB;21/04/2021;11318.0
ALB;22/04/2021;11216.0
ALB;23/04/2021;10961.0
ALB;24/04/2021;10746.0
DZA;29/01/2021;
DZA;30/01/2021;30.0
DZA;31/01/2021;1889.0
DZA;01/02/2021;2509.0
DZA;02/02/2021;2819.0
DZA;03/02/2021;3005.0
DZA;04/02/2021;3129.0
DZA;05/02/2021;3217.0
DZA;06/02/2021;3748.0
DZA;07/02/2021;3748.0
DZA;08/02/2021;3748.0
DZA;09/02/2021;3748.0
DZA;10/02/2021;3748.0
DZA;11/02/2021;3748.0
DZA;12/02/2021;3748.0
DZA;13/02/2021;3748.0
DZA;14/02/2021;3748.0
DZA;15/02/2021;3748.0
DZA;16/02/2021;3748.0
DZA;17/02/2021;3748.0
DZA;18/02/2021;3748.0
DZA;19/02/2021;3748.0
AND;25/01/2021;
AND;26/01/2021;66.0
AND;27/01/2021;66.0
AND;28/01/2021;66.0
AND;29/01/2021;66.0
AND;30/01/2021;66.0
AND;31/01/2021;66.0
AND;01/02/2021;66.0
AND;02/02/2021;60.0
AND;03/02/2021;55.0
AND;04/02/2021;50.0
AND;05/02/2021;44.0
AND;06/02/2021;39.0
AND;07/02/2021;34.0
AND;08/02/2021;28.0
AND;09/02/2021;28.0
AND;10/02/2021;28.0
AND;11/02/2021;48.0
AND;12/02/2021;68.0
AND;13/02/2021;74.0
AND;14/02/2021;81.0
AND;15/02/2021;87.0
AND;16/02/2021;94.0
AND;17/02/2021;100.0
AND;18/02/2021;87.0
AND;19/02/2021;74.0
AND;20/02/2021;71.0
AND;21/02/2021;67.0
AND;22/02/2021;64.0
AND;23/02/2021;60.0
AND;24/02/2021;57.0
AND;25/02/2021;56.0
AND;26/02/2021;55.0
AND;27/02/2021;63.0
AND;28/02/2021;72.0
AND;01/03/2021;80.0
AND;02/03/2021;89.0
AND;03/03/2021;97.0
AND;04/03/2021;103.0
AND;05/03/2021;108.0
AND;06/03/2021;108.0
AND;07/03/2021;108.0
AND;08/03/2021;108.0
AND;09/03/2021;186.0
AND;10/03/2021;264.0
AND;11/03/2021;347.0
AND;12/03/2021;430.0
AND;13/03/2021;513.0
AND;14/03/2021;596.0
AND;15/03/2021;679.0
AND;16/03/2021;619.0
AND;17/03/2021;559.0
AND;18/03/2021;493.0
AND;19/03/2021;428.0
AND;20/03/2021;357.0
AND;21/03/2021;287.0
AND;22/03/2021;217.0
AND;23/03/2021;212.0
AND;24/03/2021;207.0
AND;25/03/2021;202.0
AND;26/03/2021;197.0
AND;27/03/2021;197.0
AND;28/03/2021;197.0
AND;29/03/2021;197.0
AND;30/03/2021;197.0
AND;31/03/2021;197.0
AND;01/04/2021;197.0
AND;02/04/2021;197.0
AND;03/04/2021;197.0
AND;04/04/2021;197.0
AND;05/04/2021;573.0
AND;06/04/2021;588.0
AND;07/04/2021;603.0
AND;08/04/2021;619.0
AND;09/04/2021;634.0
AND;10/04/2021;649.0
AND;11/04/2021;664.0
AND;12/04/2021;542.0
AND;13/04/2021;649.0
AND;14/04/2021;755.0
AND;15/04/2021;862.0
AND;16/04/2021;969.0
AND;17/04/2021;1075.0
AND;18/04/2021;1182.0
AND;19/04/2021;1050.0
AGO;01/03/2021;
AGO;02/03/2021;881.0
AGO;03/03/2021;881.0
AGO;04/03/2021;881.0
AGO;05/03/2021;881.0
AGO;06/03/2021;881.0
AGO;07/03/2021;881.0
AGO;08/03/2021;881.0
AGO;09/03/2021;1367.0
AGO;10/03/2021;1853.0
AGO;11/03/2021;2339.0
AGO;12/03/2021;2825.0
AGO;13/03/2021;3311.0
AGO;14/03/2021;3797.0
AGO;15/03/2021;4283.0
AGO;16/03/2021;4283.0
AGO;17/03/2021;4283.0
AGO;18/03/2021;4283.0
AGO;19/03/2021;4577.0
AGO;20/03/2021;4870.0
AGO;21/03/2021;5163.0
AGO;22/03/2021;5457.0
AGO;23/03/2021;5750.0
AGO;24/03/2021;6044.0
AGO;25/03/2021;6681.0
AGO;26/03/2021;7025.0
AGO;27/03/2021;7369.0
AGO;28/03/2021;7713.0
AGO;29/03/2021;8057.0
AGO;30/03/2021;8060.0
AGO;31/03/2021;8062.0
AGO;01/04/2021;7720.0
AGO;02/04/2021;7379.0
AGO;03/04/2021;7037.0
AGO;04/04/2021;6695.0
AGO;05/04/2021;6354.0
AGO;06/04/2021;6354.0
AGO;07/04/2021;7271.0
AGO;08/04/2021;8188.0
AGO;09/04/2021;9105.0
AGO;10/04/2021;10022.0
AGO;11/04/2021;10939.0
AGO;12/04/2021;12710.0
AGO;13/04/2021;14481.0
AGO;14/04/2021;15335.0
AGO;15/04/2021;16189.0
AGO;16/04/2021;17043.0
AGO;17/04/2021;17897.0
AGO;18/04/2021;18751.0
AGO;19/04/2021;18751.0
AGO;20/04/2021;18247.0
AGO;21/04/2021;17743.0
AGO;22/04/2021;17240.0
AGO;23/04/2021;16736.0
AIA;04/02/2021;
AIA;05/02/2021;149.0
AIA;06/02/2021;149.0
AIA;07/02/2021;149.0
AIA;08/02/2021;149.0
AIA;09/02/2021;149.0
AIA;10/02/2021;149.0
AIA;11/02/2021;149.0
AIA;12/02/2021;149.0
AIA;13/02/2021;149.0
AIA;14/02/2021;331.0
AIA;15/02/2021;323.0
AIA;16/02/2021;316.0
AIA;17/02/2021;309.0
AIA;18/02/2021;301.0
AIA;19/02/2021;294.0
AIA;20/02/2021;286.0
AIA;21/02/2021;97.0
AIA;22/02/2021;97.0
AIA;23/02/2021;97.0
AIA;24/02/2021;97.0
AIA;25/02/2021;97.0
AIA;26/02/2021;97.0
AIA;27/02/2021;93.0
AIA;28/02/2021;89.0
AIA;01/03/2021;86.0
AIA;02/03/2021;82.0
AIA;03/03/2021;78.0
AIA;04/03/2021;74.0
AIA;05/03/2021;70.0
AIA;06/03/2021;70.0
AIA;07/03/2021;70.0
AIA;08/03/2021;70.0
AIA;09/03/2021;70.0
AIA;10/03/2021;71.0
AIA;11/03/2021;71.0
AIA;12/03/2021;72.0
AIA;13/03/2021;73.0
AIA;14/03/2021;71.0
AIA;15/03/2021;69.0
AIA;16/03/2021;68.0
AIA;17/03/2021;65.0
AIA;18/03/2021;63.0
AIA;19/03/2021;60.0
AIA;20/03/2021;53.0
AIA;21/03/2021;47.0
AIA;22/03/2021;42.0
AIA;23/03/2021;36.0
AIA;24/03/2021;31.0
AIA;25/03/2021;26.0
AIA;26/03/2021;20.0
AIA;27/03/2021;20.0
AIA;28/03/2021;20.0
AIA;29/03/2021;20.0
AIA;30/03/2021;20.0
AIA;31/03/2021;20.0
AIA;01/04/2021;20.0
AIA;02/04/2021;20.0
AIA;03/04/2021;20.0
AIA;04/04/2021;20.0
AIA;05/04/2021;20.0
AIA;06/04/2021;20.0
AIA;07/04/2021;20.0
AIA;08/04/2021;20.0
AIA;09/04/2021;20.0
AIA;10/04/2021;20.0
AIA;11/04/2021;20.0
AIA;12/04/2021;20.0
AIA;13/04/2021;33.0
AIA;14/04/2021;45.0
AIA;15/04/2021;57.0
AIA;16/04/2021;69.0
AIA;17/04/2021;82.0
AIA;18/04/2021;94.0
AIA;19/04/2021;106.0
AIA;20/04/2021;106.0
AIA;21/04/2021;106.0
AIA;22/04/2021;106.0
ATG;16/02/2021;
ATG;17/02/2021;895.0
ATG;18/02/2021;895.0
ATG;19/02/2021;895.0
ATG;20/02/2021;895.0
ATG;21/02/2021;895.0
ATG;22/02/2021;895.0
ATG;23/02/2021;895.0
ATG;24/02/2021;895.0
ATG;25/02/2021;895.0
ATG;26/02/2021;895.0
ATG;27/02/2021;895.0
ATG;28/02/2021;895.0
ATG;01/03/2021;895.0
ATG;02/03/2021;895.0
ATG;03/03/2021;895.0
ATG;04/03/2021;895.0
ATG;05/03/2021;895.0
ATG;06/03/2021;895.0
ATG;07/03/2021;895.0
ATG;08/03/2021;895.0
ATG;09/03/2021;895.0
ATG;10/03/2021;895.0
ATG;11/03/2021;895.0
ATG;12/03/2021;895.0
ATG;13/03/2021;895.0
ATG;14/03/2021;895.0
ATG;15/03/2021;895.0
ATG;16/03/2021;821.0
ATG;17/03/2021;747.0
ATG;18/03/2021;674.0
ATG;19/03/2021;600.0
ATG;20/03/2021;490.0
ATG;21/03/2021;380.0
ATG;22/03/2021;270.0
ATG;23/03/2021;233.0
ATG;24/03/2021;197.0
ATG;25/03/2021;161.0
ATG;26/03/2021;117.0
ATG;27/03/2021;109.0
ATG;28/03/2021;101.0
ATG;29/03/2021;93.0
ATG;30/03/2021;85.0
ATG;31/03/2021;77.0
ATG;01/04/2021;68.0
ATG;02/04/2021;68.0
ATG;03/04/2021;67.0
ATG;04/04/2021;65.0
ATG;05/04/2021;62.0
ATG;06/04/2021;60.0
ATG;07/04/2021;57.0
ATG;08/04/2021;55.0
ATG;09/04/2021;53.0
ATG;10/04/2021;51.0
ATG;11/04/2021;51.0
ATG;12/04/2021;51.0
ATG;13/04/2021;51.0
ATG;14/04/2021;51.0
ATG;15/04/2021;102.0
ATG;16/04/2021;154.0
ATG;17/04/2021;179.0
ATG;18/04/2021;203.0
ATG;19/04/2021;228.0
ATG;20/04/2021;252.0
ATG;21/04/2021;277.0
ATG;22/04/2021;250.0
ARG;29/12/2020;
ARG;30/12/2020;15656.0
ARG;31/12/2020;15656.0
ARG;01/01/2021;11070.0
ARG;02/01/2021;8776.0
ARG;03/01/2021;7400.0
ARG;04/01/2021;6483.0
ARG;05/01/2021;7984.0
ARG;06/01/2021;8173.0
ARG;07/01/2021;8363.0
ARG;08/01/2021;10519.0
ARG;09/01/2021;11942.0
ARG;10/01/2021;13365.0
ARG;11/01/2021;14788.0
ARG;12/01/2021;14056.0
ARG;13/01/2021;13323.0
ARG;14/01/2021;13320.0
ARG;15/01/2021;13317.0
ARG;16/01/2021;12971.0
ARG;17/01/2021;12624.0
ARG;18/01/2021;12278.0
ARG;19/01/2021;11932.0
ARG;20/01/2021;11586.0
ARG;21/01/2021;11704.0
ARG;22/01/2021;11263.0
ARG;23/01/2021;11124.0
ARG;24/01/2021;10342.0
ARG;25/01/2021;9046.0
ARG;26/01/2021;9626.0
ARG;27/01/2021;10014.0
ARG;28/01/2021;8896.0
ARG;29/01/2021;9205.0
ARG;30/01/2021;11189.0
ARG;31/01/2021;11299.0
ARG;01/02/2021;11924.0
ARG;02/02/2021;11475.0
ARG;03/02/2021;11218.0
ARG;04/02/2021;16574.0
ARG;05/02/2021;16238.0
ARG;06/02/2021;15000.0
ARG;07/02/2021;18576.0
ARG;08/02/2021;19390.0
ARG;09/02/2021;18139.0
ARG;10/02/2021;19820.0
ARG;11/02/2021;18416.0
ARG;12/02/2021;19133.0
ARG;13/02/2021;19266.0
ARG;14/02/2021;15493.0
ARG;15/02/2021;14030.0
ARG;16/02/2021;13999.0
ARG;17/02/2021;11003.0
ARG;18/02/2021;8951.0
ARG;19/02/2021;11003.0
ARG;20/02/2021;14415.0
ARG;21/02/2021;15809.0
ARG;22/02/2021;16063.0
ARG;23/02/2021;19349.0
ARG;24/02/2021;24019.0
ARG;25/02/2021;27750.0
ARG;26/02/2021;33609.0
ARG;27/02/2021;39678.0
ARG;28/02/2021;43534.0
ARG;01/03/2021;46705.0
ARG;02/03/2021;54213.0
ARG;03/03/2021;57262.0
ARG;04/03/2021;60376.0
ARG;05/03/2021;64812.0
ARG;06/03/2021;65277.0
ARG;07/03/2021;71582.0
ARG;08/03/2021;71076.0
ARG;09/03/2021;74693.0
ARG;10/03/2021;84735.0
ARG;11/03/2021;95230.0
ARG;12/03/2021;105801.0
ARG;13/03/2021;121843.0
ARG;14/03/2021;122193.0
ARG;15/03/2021;122499.0
ARG;16/03/2021;127486.0
ARG;17/03/2021;127666.0
ARG;18/03/2021;126583.0
ARG;19/03/2021;120166.0
ARG;20/03/2021;109875.0
ARG;21/03/2021;105486.0
ARG;22/03/2021;105464.0
ARG;23/03/2021;99910.0
ARG;24/03/2021;94404.0
ARG;25/03/2021;80098.0
ARG;26/03/2021;76436.0
ARG;27/03/2021;72371.0
ARG;28/03/2021;72208.0
ARG;29/03/2021;71946.0
ARG;30/03/2021;71976.0
ARG;31/03/2021;80428.0
ARG;01/04/2021;93883.0
ARG;02/04/2021;92677.0
ARG;03/04/2021;86919.0
ARG;04/04/2021;87032.0
ARG;05/04/2021;87820.0
ARG;06/04/2021;94230.0
ARG;07/04/2021;97127.0
ARG;08/04/2021;106885.0
ARG;09/04/2021;118982.0
ARG;10/04/2021;146082.0
ARG;11/04/2021;154158.0
ARG;12/04/2021;161313.0
ARG;13/04/2021;166815.0
ARG;14/04/2021;169014.0
ARG;15/04/2021;166276.0
ARG;16/04/2021;162428.0
ARG;17/04/2021;146486.0
ARG;18/04/2021;139314.0
ARG;19/04/2021;134936.0
ARG;20/04/2021;123038.0
ARG;21/04/2021;113664.0
ARG;22/04/2021;108327.0
ARG;23/04/2021;102056.0
ARG;24/04/2021;112915.0
ARG;25/04/2021;120877.0
ARG;26/04/2021;125736.0
ARG;27/04/2021;136216.0
ARM;31/03/2021;
ABW;29/03/2021;
ABW;30/03/2021;1278.0
ABW;31/03/2021;1278.0
ABW;01/04/2021;1278.0
ABW;02/04/2021;1278.0
ABW;03/04/2021;1278.0
ABW;04/04/2021;1278.0
ABW;05/04/2021;1278.0
ABW;06/04/2021;1278.0
ABW;07/04/2021;1278.0
ABW;08/04/2021;1278.0
ABW;09/04/2021;1278.0
ABW;10/04/2021;1278.0
ABW;11/04/2021;1236.0
ABW;12/04/2021;1195.0
ABW;13/04/2021;1372.0
ABW;14/04/2021;1562.0
ABW;15/04/2021;1715.0
ABW;16/04/2021;1877.0
ABW;17/04/2021;2069.0
ABW;18/04/2021;1938.0
ABW;19/04/2021;2158.0
ABW;20/04/2021;2113.0
ABW;21/04/2021;2020.0
ABW;22/04/2021;1963.0
ABW;23/04/2021;2142.0
ABW;24/04/2021;1957.0
ABW;25/04/2021;2493.0
ABW;26/04/2021;2169.0
AUS;15/02/2021;
AUS;16/02/2021;0.0
AUS;17/02/2021;0.0
AUS;18/02/2021;0.0
AUS;19/02/2021;0.0
AUS;20/02/2021;0.0
AUS;21/02/2021;0.0
AUS;22/02/2021;3.0
AUS;23/02/2021;411.0
AUS;24/02/2021;987.0
AUS;25/02/2021;2500.0
AUS;26/02/2021;3571.0
AUS;27/02/2021;4286.0
AUS;28/02/2021;4556.0
AUS;01/03/2021;4812.0
AUS;02/03/2021;5575.0
AUS;03/03/2021;6276.0
AUS;04/03/2021;6215.0
AUS;05/03/2021;6695.0
AUS;06/03/2021;6706.0
AUS;07/03/2021;7064.0
AUS;08/03/2021;7524.0
AUS;09/03/2021;7572.0
AUS;10/03/2021;7909.0
AUS;11/03/2021;9142.0
AUS;12/03/2021;9034.0
AUS;13/03/2021;11765.0
AUS;14/03/2021;11601.0
AUS;15/03/2021;11202.0
AUS;16/03/2021;12504.0
AUS;17/03/2021;13908.0
AUS;18/03/2021;14437.0
AUS;19/03/2021;15093.0
AUS;20/03/2021;13505.0
AUS;21/03/2021;13495.0
AUS;22/03/2021;16772.0
AUS;23/03/2021;17870.0
AUS;24/03/2021;21671.0
AUS;25/03/2021;26050.0
AUS;26/03/2021;31343.0
AUS;27/03/2021;36091.0
AUS;28/03/2021;36357.0
AUS;29/03/2021;37082.0
AUS;30/03/2021;41428.0
AUS;31/03/2021;45014.0
AUS;01/04/2021;47988.0
AUS;02/04/2021;51922.0
AUS;03/04/2021;45993.0
AUS;04/04/2021;47380.0
AUS;05/04/2021;43221.0
AUS;06/04/2021;36780.0
AUS;07/04/2021;35712.0
AUS;08/04/2021;35974.0
AUS;09/04/2021;36271.0
AUS;10/04/2021;44350.0
AUS;11/04/2021;46198.0
AUS;12/04/2021;47713.0
AUS;13/04/2021;54243.0
AUS;14/04/2021;53620.0
AUS;15/04/2021;51931.0
AUS;16/04/2021;49009.0
AUS;17/04/2021;47956.0
AUS;18/04/2021;47192.0
AUS;19/04/2021;58322.0
AUS;20/04/2021;59801.0
AUS;21/04/2021;60348.0
AUS;22/04/2021;60810.0
AUS;23/04/2021;62146.0
AUS;24/04/2021;62784.0
AUS;25/04/2021;62452.0
AUS;26/04/2021;50133.0
AUS;27/04/2021;45150.0
AUT;27/12/2020;
AUT;28/12/2020;1299.0
AUT;29/12/2020;1460.0
AUT;30/12/2020;1424.0
AUT;31/12/2020;1070.0
AUT;01/01/2021;857.0
AUT;02/01/2021;715.0
AUT;03/01/2021;613.0
AUT;04/01/2021;444.0
AUT;05/01/2021;469.0
AUT;06/01/2021;394.0
AUT;07/01/2021;849.0
AUT;08/01/2021;2702.0
AUT;09/01/2021;3331.0
AUT;10/01/2021;3649.0
AUT;11/01/2021;4437.0
AUT;12/01/2021;6277.0
AUT;13/01/2021;8338.0
AUT;14/01/2021;10252.0
AUT;15/01/2021;11006.0
AUT;16/01/2021;11342.0
AUT;17/01/2021;11837.0
AUT;18/01/2021;12660.0
AUT;19/01/2021;14253.0
AUT;20/01/2021;15428.0
AUT;21/01/2021;15866.0
AUT;22/01/2021;14927.0
AUT;23/01/2021;14407.0
AUT;24/01/2021;13772.0
AUT;25/01/2021;12356.0
AUT;26/01/2021;9893.0
AUT;27/01/2021;7679.0
AUT;28/01/2021;6276.0
AUT;29/01/2021;6754.0
AUT;30/01/2021;6836.0
AUT;31/01/2021;6853.0
AUT;01/02/2021;7307.0
AUT;02/02/2021;8539.0
AUT;03/02/2021;9937.0
AUT;04/02/2021;11416.0
AUT;05/02/2021;12268.0
AUT;06/02/2021;13025.0
AUT;07/02/2021;13548.0
AUT;08/02/2021;14267.0
AUT;09/02/2021;14546.0
AUT;10/02/2021;15102.0
AUT;11/02/2021;15685.0
AUT;12/02/2021;16487.0
AUT;13/02/2021;16690.0
AUT;14/02/2021;16261.0
AUT;15/02/2021;15891.0
AUT;16/02/2021;15230.0
AUT;17/02/2021;14908.0
AUT;18/02/2021;14246.0
AUT;19/02/2021;13487.0
AUT;20/02/2021;13844.0
AUT;21/02/2021;14409.0
AUT;22/02/2021;14379.0
AUT;23/02/2021;14398.0
AUT;24/02/2021;14428.0
AUT;25/02/2021;14449.0
AUT;26/02/2021;15491.0
AUT;27/02/2021;17167.0
AUT;28/02/2021;17786.0
AUT;01/03/2021;18032.0
AUT;02/03/2021;19524.0
AUT;03/03/2021;20680.0
AUT;04/03/2021;21722.0
AUT;05/03/2021;22844.0
AUT;06/03/2021;23319.0
AUT;07/03/2021;23541.0
AUT;08/03/2021;23945.0
AUT;09/03/2021;24374.0
AUT;10/03/2021;24524.0
AUT;11/03/2021;27014.0
AUT;12/03/2021;30085.0
AUT;13/03/2021;33526.0
AUT;14/03/2021;36073.0
AUT;15/03/2021;37395.0
AUT;16/03/2021;37403.0
AUT;17/03/2021;38157.0
AUT;18/03/2021;36742.0
AUT;19/03/2021;36120.0
AUT;20/03/2021;35394.0
AUT;21/03/2021;33365.0
AUT;22/03/2021;32648.0
AUT;23/03/2021;33629.0
AUT;24/03/2021;34342.0
AUT;25/03/2021;35875.0
AUT;26/03/2021;35396.0
AUT;27/03/2021;34569.0
AUT;28/03/2021;34423.0
AUT;29/03/2021;35946.0
AUT;30/03/2021;36771.0
AUT;31/03/2021;36163.0
AUT;01/04/2021;35603.0
AUT;02/04/2021;34626.0
AUT;03/04/2021;31820.0
AUT;04/04/2021;31176.0
AUT;05/04/2021;29194.0
AUT;06/04/2021;28703.0
AUT;07/04/2021;31560.0
AUT;08/04/2021;35804.0
AUT;09/04/2021;40624.0
AUT;10/04/2021;46732.0
AUT;11/04/2021;48988.0
AUT;12/04/2021;52004.0
AUT;13/04/2021;52897.0
AUT;14/04/2021;54320.0
AUT;15/04/2021;54402.0
AUT;16/04/2021;53179.0
AUT;17/04/2021;51877.0
AUT;18/04/2021;50906.0
AUT;19/04/2021;50490.0
AUT;20/04/2021;50545.0
AUT;21/04/2021;50063.0
AUT;22/04/2021;49381.0
AUT;23/04/2021;48805.0
AUT;24/04/2021;46410.0
AUT;25/04/2021;47608.0
AUT;26/04/2021;47369.0
AZE;17/01/2021;
AZE;18/01/2021;3250.0
AZE;19/01/2021;3250.0
AZE;20/01/2021;3250.0
AZE;21/01/2021;3250.0
AZE;22/01/2021;3250.0
AZE;23/01/2021;3250.0
AZE;24/01/2021;3250.0
AZE;25/01/2021;3250.0
AZE;26/01/2021;3250.0
AZE;27/01/2021;3250.0
AZE;28/01/2021;3250.0
AZE;29/01/2021;3250.0
AZE;30/01/2021;3250.0
AZE;31/01/2021;3250.0
AZE;01/02/2021;3250.0
AZE;02/02/2021;3250.0
AZE;03/02/2021;3250.0
AZE;04/02/2021;3250.0
AZE;05/02/2021;3250.0
AZE;06/02/2021;3250.0
AZE;07/02/2021;4204.0
AZE;08/02/2021;5158.0
AZE;09/02/2021;6112.0
AZE;10/02/2021;7066.0
AZE;11/02/2021;8020.0
AZE;12/02/2021;8975.0
AZE;13/02/2021;9929.0
AZE;14/02/2021;9929.0
AZE;15/02/2021;9929.0
AZE;16/02/2021;9929.0
AZE;17/02/2021;9929.0
AZE;18/02/2021;9929.0
AZE;19/02/2021;9929.0
AZE;20/02/2021;9929.0
AZE;21/02/2021;9929.0
AZE;22/02/2021;9929.0
AZE;23/02/2021;9929.0
AZE;24/02/2021;9929.0
AZE;25/02/2021;9929.0
AZE;26/02/2021;9929.0
AZE;27/02/2021;9929.0
AZE;28/02/2021;9929.0
AZE;01/03/2021;9929.0
AZE;02/03/2021;11650.0
AZE;03/03/2021;13371.0
AZE;04/03/2021;13719.0
AZE;05/03/2021;14067.0
AZE;06/03/2021;14415.0
AZE;07/03/2021;14763.0
AZE;08/03/2021;15110.0
AZE;09/03/2021;13737.0
AZE;10/03/2021;13046.0
AZE;11/03/2021;12453.0
AZE;12/03/2021;11692.0
AZE;13/03/2021;10844.0
AZE;14/03/2021;9545.0
AZE;15/03/2021;8471.0
AZE;16/03/2021;7398.0
AZE;17/03/2021;5641.0
AZE;18/03/2021;5160.0
AZE;19/03/2021;4847.0
AZE;20/03/2021;4621.0
AZE;21/03/2021;4815.0
AZE;22/03/2021;4783.0
AZE;23/03/2021;4752.0
AZE;24/03/2021;4720.0
AZE;25/03/2021;4689.0
AZE;26/03/2021;4657.0
AZE;27/03/2021;12202.0
AZE;28/03/2021;19778.0
AZE;29/03/2021;27354.0
AZE;30/03/2021;34930.0
AZE;31/03/2021;42505.0
AZE;01/04/2021;50081.0
AZE;02/04/2021;54088.0
AZE;03/04/2021;50962.0
AZE;04/04/2021;46002.0
AZE;05/04/2021;37794.0
AZE;06/04/2021;34463.0
AZE;07/04/2021;32441.0
AZE;08/04/2021;30446.0
AZE;09/04/2021;31813.0
AZE;10/04/2021;32677.0
AZE;11/04/2021;32763.0
AZE;12/04/2021;32749.0
AZE;13/04/2021;32839.0
AZE;14/04/2021;31057.0
